"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g2109.t1.exon6",81.9659722164957,-4.87358058351642,0.671336808232851,-7.25951642119114,3.88476632364205e-13,6.70882253804619e-11
"g2640.t1.exon13",22.7692990443889,8.41567633363942,1.15878816849417,7.26248037600824,3.8005566856726e-13,6.70882253804619e-11
"g2721.t1.exon3",153.029015152206,-4.54197544633188,0.631073174090996,-7.1972247162529,6.14504443170253e-13,1.01700485344677e-10
"g221.t1.exon1",853.254311716035,8.37976561726658,1.16676102681452,7.18207535620638,6.86610562879613e-13,1.07625585937732e-10
"g366.t1.exon1",857.009236209695,7.87606016999971,1.09716444841605,7.1785594049918,7.0449779314729e-13,1.07625585937732e-10
"g2608.t1.exon4",24.958321827214,8.54966775771804,1.19938755818327,7.12836122017836,1.01570936101759e-12,1.49422132665254e-10
"g2385.t1.exon11",54.0041176405652,5.25949612267642,0.738564892601247,7.1212376534069,1.06962173487197e-12,1.51733483246838e-10
"g1973.t1.exon8",20.3669963787498,8.25466841524097,1.16399932205461,7.09164366236089,1.32528401514991e-12,1.81518210626739e-10
"g365.t1.exon1",1968.02052173038,8.39031583201524,1.19989589428485,6.99253649585657,2.69960254317669e-12,3.57427376716593e-10
"g568.t1.exon1",178.313802397143,4.80967604565047,0.688353981774277,6.98721322603992,2.80399931206238e-12,3.59273718306832e-10
"g2064.t1.exon2",300.613713485026,7.71759140488496,1.1215653025208,6.88108965883585,5.93964510092576e-12,7.3725844815241e-10
"g2385.t1.exon8",27.9351245601797,5.59553384447869,0.815031259871713,6.8654223708664,6.62948083571253e-12,7.97948420589399e-10
"g820.t1.exon14",64.3853009579722,3.97224782225226,0.589606936319926,6.73711175625804,1.61565915274883e-11,1.8874700455054e-09
"g820.t1.exon3",94.34749761076,5.05152566411624,0.751816552876935,6.71909343414406,1.82858634461406e-11,2.0751842745163e-09
"g498.t1.exon6",57.7893375023132,-4.91871733887083,0.735480644870651,-6.68775905005072,2.26613840636837e-11,2.50030604169311e-09
"g541.t1.exon14",74.002778858546,4.24894015910399,0.639150152479089,6.64779651952442,2.97513208428403e-11,3.19384449696653e-09
"g1520.t1.exon1",20.3094725213024,7.76194796816871,1.16968795203913,6.63591341146775,3.22499127828113e-11,3.37096456771912e-09
"g517.t1.exon2",40.9906224822814,-8.73600987822879,1.32489435673089,-6.59374072645645,4.28880437891367e-11,4.36798230590900e-09
"g1104.t1.exon7",49.9757075673989,5.07703508973354,0.771911054625489,6.57722811366756,4.79299174048853e-11,4.75944079830511e-09
"g1174.t1.exon15",18.2640858184382,7.60653827910951,1.16152255735815,6.5487650075521,5.80148354342945e-11,5.48654586535757e-09
"g568.t1.exon5",52.5382021902835,3.8358420013811,0.585500748358457,6.55138701724205,5.70051087499828e-11,5.48654586535757e-09
"g2109.t1.exon7",464.973184502393,-4.52237148993535,0.696259693954695,-6.49523666126453,8.29029827220989e-11,7.48387834936765e-09
"g939.t1.exon1",435.235477543034,6.30630492750051,0.970669901154675,6.49685842735903,8.20145728835488e-11,7.48387834936765e-09
"g515.t1.exon1",88.1917936460444,-4.36843676268058,0.675655963526641,-6.46547503241024,1.00981076731423e-10,8.91326303949364e-09
"g1104.t1.exon6",46.0267192149439,5.99964816055762,0.946925904945346,6.33592145829393,2.35926956690242e-10,2.03717798255139e-08
"g2647.t1.exon6",19.3932130515069,6.73097646445761,1.07669622047191,6.25150932684378,4.06504820071135e-10,3.36382738608864e-08
"g541.t1.exon2",21.0718758632405,4.11618447558468,0.658117245542585,6.25448505332981,3.98829654868383e-10,3.36382738608864e-08
"g221.t1.exon3",1097.7500619736,7.90674295190201,1.270175583122,6.22492122897513,4.81798013826002e-10,3.90551369574873e-08
"g250.t1.exon10",15.7828422674612,6.91315141604745,1.1140129301596,6.2056294221442,5.44784156223961e-10,4.32776533704315e-08
"g1653.t1.exon3",100.006067771069,-5.30370771968076,0.859646439501994,-6.16963844200097,6.84463240876078e-10,5.33076077011722e-08
