"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g2704.t1.exon1",1999.21242457606,5.05588958047451,0.967045116143272,5.22818376937593,1.71183318630342e-07,1.3496734778261e-05
"g2126.t1.exon1",1178.04257776033,12.3645897104364,2.37972007598222,5.19581686738218,2.03822834555521e-07,1.55831821691994e-05
"g2698.t1.exon2",32.3570614626802,-6.27963897395084,1.22876787987976,-5.11051686553308,3.21278627686734e-07,2.38407640486361e-05
"g402.t1.exon4",2652.63103770248,4.12307689304138,0.811796163777032,5.0789558721958,3.79514839791876e-07,2.73575983084258e-05
"g568.t1.exon1",395.625841616904,5.52957904278959,1.08998940162482,5.07305762289687,3.91473891201424e-07,2.74357952083665e-05
"g1174.t1.exon16",470.470834556516,11.040437598779,2.20578266337414,5.005224577244,5.57969404815615e-07,3.80474813067513e-05
"g746.t1.exon1",17.811925122554,-8.8628243061917,1.77519902254185,-4.99258065921043,5.95778194726601e-07,3.95565364551372e-05
"g2565.t1.exon4",24.5296442421291,-8.34849195456467,1.68120788087572,-4.96577017603322,6.84289537462591e-07,4.31615625754529e-05
"g971.t1.exon4",471.880936678635,4.49353064854278,0.90410644421533,4.97013452043547,6.69064660750492e-07,4.31615625754529e-05
"g1653.t1.exon6",435.609126345039,-5.45761719836048,1.10921531837233,-4.92025047613752,8.64335281115739e-07,5.31882418110978e-05
"g541.t1.exon1",218.694133938498,5.15714313905693,1.04936793495386,4.91452327374924,8.89987529378358e-07,5.34628223005142e-05
"g267.t1.exon5",489.519295001516,4.38442087081511,0.893056034501115,4.909457751175,9.13285723235952e-07,5.35865088307978e-05
"g1823.t1.exon16",29.4558715269789,-6.32023703346271,1.29724115434904,-4.87206022740948,1.10440488395036e-06,6.33275800501536e-05
"g1784.t1.exon4",30.6622560940715,-5.89320681804239,1.21179787734625,-4.86319288737167,1.15507185660601e-06,6.47610287603768e-05
"g498.t1.exon1",140.474502442059,-4.22326165262094,0.870016757842127,-4.85423023700803,1.20855260955838e-06,6.62864833459954e-05
"g2798.t1.exon1",388.738823012044,10.7652853428198,2.22488409239018,4.8385825489249,1.30768381992363e-06,7.01975803759003e-05
"g670.t1.exon1",192.979369453739,-4.13270957241258,0.854924919556665,-4.83400293742246,1.33814609976708e-06,7.03363043690071e-05
