"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"tig00000724_pilon_80",59.8198881492213,-4.65717002719592,0.687579398244091,-6.77328325876138,1.25892122616604e-11,1.17779074714645e-09
"tig00000517_pilon_3",460.038485897377,-11.1885217613375,1.66331293774639,-6.72664867051222,1.73615251117899e-11,1.58036801558131e-09
"tig00000714_pilon_22",55.5875844712933,3.9430693691283,0.589669480265135,6.68691445138956,2.27925024899791e-11,2.02013548384867e-09
"tig00000704_pilon_28",1186.70813203062,-4.48180311301893,0.672460152097272,-6.66478615727797,2.65050993922296e-11,2.28895319879562e-09
"tig00000230_pilon_4",54.2794671257005,-9.06367281499173,1.36799419237541,-6.62551995140666,3.4602799067762e-11,2.8424933478103e-09
"tig00000703_pilon_15",450.145217082207,6.3946870982074,0.964821038373057,6.62784790533852,3.40616151115657e-11,2.8424933478103e-09
"tig00000724_pilon_77",103.144978390914,-4.3736584889006,0.664527205743279,-6.58160937746504,4.65382953492151e-11,3.73192806514658e-09
"tig00000703_pilon_659",77.8892190542977,4.27874941139885,0.652599173825684,6.55647384031435,5.50949790049689e-11,4.31534626252873e-09
"tig00000726_pilon_1",147.340340443838,3.45878919403739,0.528512982518706,6.54437886758056,5.97431652758028e-11,4.57306774202055e-09
"tig00000703_pilon_94",160.555174573573,4.32129549902388,0.661675488942342,6.53083810907258,6.54026636159786e-11,4.8950260235248e-09
"tig00000038_pilon_1",21.685527019794,7.87392079141184,1.21254334003611,6.49372317790911,8.37405594144854e-11,6.13126530669537e-09
"tig00000001_pilon_295",452.887877695167,-4.41641162847922,0.683198132883712,-6.4643204012253,1.01755068901618e-10,7.29172493746061e-09
"tig00000720_pilon_4",59.9796265414663,6.39657236165028,0.990728479476543,6.45643331564462,1.07199385160362e-10,7.52182352541875e-09
"tig00000167_pilon_18",56.7474999880479,9.26651316755841,1.43958381275508,6.43693898573653,1.2190690800679e-10,8.3792340034055e-09
"tig00000734_pilon_39",164.35127780054,2.75614484042842,0.429809155407238,6.41248518267838,1.43166344469619e-10,9.64368496347355e-09
"tig00000703_pilon_213",306.619023481829,-10.6028241894656,1.66416838686189,-6.371244805016,1.87500075953422e-10,1.23823579570809e-08
"tig00000699_pilon_300",560.578477466367,-2.55436742391267,0.402466365405205,-6.34678483341315,2.19861290126869e-10,1.4240246637448e-08
"tig00000704_pilon_36",658.779386571892,-3.9074856159626,0.617164736006646,-6.33134945662307,2.43026217087639e-10,1.54436282858711e-08
"tig00000134_pilon_0",17.720624644292,8.07190942077018,1.29053180474698,6.2547156072242,3.9824093729118e-10,2.48384347554943e-08
"tig00000119_pilon_89",33.4435995222976,4.8266588338376,0.772409601813454,6.24883329066032,4.13530006911437e-10,2.53230738777768e-08
"tig00000709_pilon_267",122.501377379531,4.86576366687657,0.780122775699028,6.2371767860727,4.45538390961095e-10,2.67959517992316e-08
"tig00000715_pilon_373",305.80803141079,-6.07974021370461,0.977210853710119,-6.22152342109384,4.92350643244475e-10,2.85902925249551e-08
"tig00000722_pilon_29",1686.42379769558,4.16943196509084,0.669998619771049,6.22304560346051,4.87595575597337e-10,2.85902925249551e-08
"tig00000213_pilon_13",156.925454561121,-2.46849258778813,0.397820593642322,-6.20503972704726,5.46830872671069e-10,3.12157013416298e-08
"tig00000679_pilon_0",63.6016032866776,5.67533101660172,0.917391436053324,6.1863788929809,6.15619390796459e-10,3.41346234886241e-08
"tig00000703_pilon_93",113.254303301004,4.74631025616467,0.767302365529582,6.18571044400316,6.18233976486363e-10,3.41346234886241e-08
"tig00000724_pilon_49",53.4315600614031,2.94658585149938,0.47758380690306,6.1697775529845,6.83861336743628e-10,3.71491126153636e-08
"tig00000715_pilon_296",188.515177948909,-6.51200630260552,1.06630335845141,-6.1070859910475,1.01466578287341e-09,5.42443548685339e-08
"tig00000679_pilon_2",19.4628394579368,6.74682528394256,1.12417816029459,6.00156231657671,1.95427909666734e-09,1.02843937462119e-07
"tig00000706_pilon_58",2148.56333384877,6.45312653160044,1.07715933803796,5.99087461225073,2.08715516261089e-09,1.08146747502669e-07
"tig00000119_pilon_62",13.1183700106339,7.63721935533198,1.2771100450546,5.98007930867497,2.23029006340891e-09,1.13812377781231e-07
"tig00000045_pilon_81",374.206373122705,-3.36577351628398,0.564491833502867,-5.96248398386597,2.4843200905581e-09,1.24883433805965e-07
"tig00000703_pilon_489",95.8878658722509,2.71340692986593,0.455396497409176,5.95833948065683,2.54813763311457e-09,1.26207758063675e-07
